ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
AEE,2019-02-27,FY2018,10-K,151,medium,negative,-22.222222222222214
AEE,2022-08-09,Q2_2022,10-Q,100,medium,negative,-2.343749999999999
AEE,2022-11-05,Q3_2022,10-Q,91,medium,negative,0.4520341536916125
AEE,2022-02-24,FY2021,10-K,-28,medium,negative,-2.0368178292991637
AEE,2023-05-06,Q1_2023,10-Q,122,medium,negative,6.492870302333255
AEE,2023-08-04,Q2_2023,10-Q,84,medium,negative,14.32926829268293
AEE,2023-11-10,Q3_2023,10-Q,0,medium,negative,14.32926829268293
AEE,2024-05-07,Q1_2024,10-Q,100,medium,negative,-7.96739416250329
AEE,2023-02-23,FY2022,10-K,23,medium,negative,11.250419396422338
AEE,2024-08-06,Q2_2024,10-Q,125,medium,negative,3.848830362400292
AEE,2024-11-08,Q3_2024,10-Q,150,medium,negative,-10.758812567258982
AEE,2024-03-01,FY2023,10-K,100,medium,negative,-1.524725500172335
AEE,2025-05-06,Q1_2025,10-Q,114,medium,negative,0.39407018202289185
AES,2006-01-20,Q4_2005,10-Q,0,medium,negative,-100.0
AES,2006-05-09,Q1_2006,10-Q,-43,medium,negative,126.08695652173914
AEE,2025-08-05,Q2_2025,10-Q,133,medium,negative,2.332367423858644
AEE,2025-11-07,Q3_2025,10-Q,214,medium,positive,11.574819225053542
AEE,2025-02-19,FY2024,10-K,0,medium,negative,-3.2006637668770184
AES,2006-08-08,Q2_2006,10-Q,-45,medium,negative,136.36363636363637
AES,2007-06-22,Q1_2007,10-Q,0,medium,negative,nan
AES,2006-11-08,Q3_2006,10-Q,-79,medium,negative,nan
AES,2008-05-09,Q1_2008,10-Q,-22,medium,negative,100.0
AES,2007-11-07,Q3_2007,10-Q,-91,medium,negative,-60.526315789473685
AES,2008-11-07,Q3_2008,10-Q,-57,medium,negative,-29.032258064516125
AES,2007-08-10,Q2_2007,10-Q,-142,medium,negative,131.25
AES,2008-08-08,Q2_2008,10-Q,-90,medium,negative,nan
AES,2006-04-05,FY2006,10-K,0,medium,negative,-100.0
AES,2009-05-09,Q1_2009,10-Q,-129,medium,negative,83.33333333333334
AES,2009-08-08,Q2_2009,10-Q,-108,medium,negative,nan
AES,2009-11-07,Q3_2009,10-Q,-80,medium,negative,16.666666666666682
AES,2010-05-08,Q1_2010,10-Q,-57,medium,negative,12.50000000000001
AES,2010-08-07,Q2_2010,10-Q,-94,medium,negative,-5.263157894736847
AES,2007-05-24,FY2007,10-K,0,medium,negative,nan
AES,2009-02-27,FY2008,10-K,-40,medium,negative,-100.0
AES,2008-03-18,FY2007,10-K,0,medium,negative,-60.526315789473685
AES,2011-05-10,Q1_2011,10-Q,-165,medium,negative,-6.666666666666654
AES,2010-11-05,Q3_2010,10-Q,-125,medium,negative,-56.25
AES,2010-02-27,FY2009,10-K,-75,medium,negative,-100.0
AES,2012-05-05,Q1_2012,10-Q,-90,medium,negative,158.8235294117647
AES,2011-08-06,Q2_2011,10-Q,-119,medium,negative,-15.384615384615389
AES,2011-11-05,Q3_2011,10-Q,-134,medium,negative,-168.00000000000003
AES,2012-08-07,Q2_2012,10-Q,-154,medium,negative,-50.0
AES,2012-11-08,Q3_2012,10-Q,-121,medium,negative,nan
AES,2011-03-01,FY2010,10-K,-123,medium,negative,-100.0
AES,2013-05-10,Q1_2013,10-Q,-171,medium,negative,-60.71428571428572
AES,2013-08-09,Q2_2013,10-Q,-118,medium,negative,9.999999999999995
AES,2014-05-09,Q1_2014,10-Q,-179,medium,negative,-126.66666666666669
AES,2012-02-28,FY2011,10-K,-56,medium,negative,-100.0
AES,2013-11-08,Q3_2013,10-Q,-191,medium,negative,-68.9655172413793
AES,2013-02-28,FY2012,10-K,-102,medium,negative,-100.0
AES,2014-08-08,Q2_2014,10-Q,-219,medium,negative,-35.71428571428572
AES,2014-11-07,Q3_2014,10-Q,-134,medium,negative,116.12903225806453
AES,2015-05-12,Q1_2015,10-Q,-267,medium,negative,-19.999999999999996
AES,2016-05-10,Q1_2016,10-Q,-147,medium,negative,-29.629629629629633
AES,2015-11-06,Q3_2015,10-Q,-124,medium,negative,-21.21212121212121
AES,2015-08-11,Q2_2015,10-Q,-185,medium,negative,-65.51724137931035
AES,2016-08-06,Q2_2016,10-Q,-150,medium,negative,nan
